,text
297,[]
298,"['thus he', 'he lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in mental', 'mental objects', 'objects internally', 'internally and', 'and clings', 'clings to', 'to naught', 'naught in', 'in the', 'the world']"
299,[]
300,"['thus indeed', 'indeed o', 'o bhikkhus', 'bhikkhus a', 'a bhikkhu', 'bhikkhu lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in the', 'the mental', 'mental objects', 'objects of', 'of the', 'the six', 'six internal', 'internal and', 'and the', 'the six', 'six externally', 'externally sensebases']"
301,"[' the', 'the seven', 'seven factors', 'factors of', 'of enlightenment']"
302,[]
303,"['and further', 'further o', 'o bhikkhus', 'bhikkhus a', 'a bhikkhu', 'bhikkhu lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in the', 'the mental', 'mental objects', 'objects of', 'of the', 'the seven', 'seven factors', 'factors of', 'of enlightenment']"
304,[]
305,"['how o', 'o bhikkhus', 'bhikkhus does', 'does a', 'a bhikkhu', 'bhikkhu live', 'live contemplating', 'contemplating mental', 'mental object', 'object in', 'in the', 'the mental', 'mental objects', 'objects of', 'of the', 'the seven', 'seven factors', 'factors of', 'of enlightenment']"
306,[]
307,"['here o', 'o bhikkhus', 'bhikkhus when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of mindfulness', 'mindfulness is', 'is present', 'present a', 'a bhikkhu', 'bhikkhu knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of mindfulness', 'mindfulness or', 'or when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of mindfulness', 'mindfulness is', 'is absent', 'absent he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have not', 'not the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of mindfulness', 'mindfulness and', 'and he', 'he understands', 'understands how', 'how the', 'the arising', 'arising of', 'of the', 'the nonarisen', 'nonarisen enlightenment', 'enlightenment factor', 'factor of', 'of mindfulness', 'mindfulness comes', 'comes to', 'to be', 'be and', 'and how', 'how the', 'the completion', 'completion by', 'by culture', 'culture of', 'of the', 'the arisen', 'arisen enlightenment', 'enlightenment factor', 'factor of', 'of mindfulness', 'mindfulness comes', 'comes to', 'to be', 'be when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of the', 'the investigation', 'investigation of', 'of mental', 'mental objects', 'objects is', 'is present', 'present he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of the', 'the investigation', 'investigation of', 'of mental', 'mental objects', 'objects when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of the', 'the investigation', 'investigation of', 'of mental', 'mental objects', 'objects is', 'is absent', 'absent he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have not', 'not the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of the', 'the investigation', 'investigation of', 'of mental', 'mental objects', 'objects and', 'and he', 'he understands', 'understands how', 'how the', 'the arising', 'arising of', 'of the', 'the nonarisen', 'nonarisen enlightenment', 'enlightenment factor', 'factor of', 'of the', 'the investigation', 'investigation of', 'of mental', 'mental objects', 'objects comes', 'comes to', 'to be', 'be and', 'and how', 'how the', 'the completion', 'completion of', 'of culture', 'culture of', 'of the', 'the arisen', 'arisen enlightenment', 'enlightenment factor', 'factor of', 'of the', 'the investigation', 'investigation of', 'of mental', 'mental objects', 'objects comes', 'comes to', 'to be', 'be when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of energy', 'energy is', 'is present', 'present he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of energy', 'energy when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of energy', 'energy is', 'is absent', 'absent he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have not', 'not the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of energy', 'energy and', 'and he', 'he understands', 'understands how', 'how the', 'the arising', 'arising of', 'of the', 'the nonarisen', 'nonarisen enlightenment', 'enlightenment factor', 'factor of', 'of energy', 'energy comes', 'comes to', 'to be', 'be and', 'and how', 'how the', 'the completion', 'completion by', 'by culture', 'culture of', 'of the', 'the arisen', 'arisen enlightenment', 'enlightenment factor', 'factor of', 'of energy', 'energy comes', 'comes to', 'to be', 'be when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of joy', 'joy is', 'is present', 'present he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of joy', 'joy when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of joy', 'joy is', 'is absent', 'absent he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have not', 'not the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of joy', 'joy and', 'and he', 'he understands', 'understands how', 'how the', 'the rising', 'rising of', 'of the', 'the nonarisen', 'nonarisen enlightenment', 'enlightenment factor', 'factor of', 'of joy', 'joy comes', 'comes to', 'to be', 'be and', 'and how', 'how the', 'the completion', 'completion by', 'by culture', 'culture of', 'of the', 'the arisen', 'arisen enlightenment', 'enlightenment factor', 'factor of', 'of joy', 'joy comes', 'comes to', 'to be', 'be when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of calm', 'calm is', 'is present', 'present he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of calm', 'calm when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of calm', 'calm is', 'is absent', 'absent he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have not', 'not the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of calm', 'calm and', 'and he', 'he understands', 'understands how', 'how the', 'the arising', 'arising of', 'of the', 'the nonarisen', 'nonarisen enlightenment', 'enlightenment factor', 'factor of', 'of calm', 'calm comes', 'comes to', 'to be', 'be and', 'and how', 'how the', 'the completion', 'completion by', 'by culture', 'culture of', 'of the', 'the arisen', 'arisen enlightenment', 'enlightenment factor', 'factor of', 'of calm', 'calm comes', 'comes to', 'to be', 'be when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of concentration', 'concentration is', 'is present', 'present he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of concentration', 'concentration when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of concentration', 'concentration is', 'is absent', 'absent he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have not', 'not the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of concentration', 'concentration and', 'and he', 'he understands', 'understands how', 'how the', 'the arising', 'arising of', 'of the', 'the nonarisen', 'nonarisen enlightenment', 'enlightenment factor', 'factor of', 'of concentration', 'concentration comes', 'comes to', 'to be', 'be and', 'and how', 'how the', 'the completion', 'completion by', 'by culture', 'culture of', 'of the', 'the arisen', 'arisen enlightenment', 'enlightenment factor', 'factor of', 'of concentration', 'concentration comes', 'comes to', 'to be', 'be when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of equanimity', 'equanimity is', 'is present', 'present he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of equanimity', 'equanimity when', 'when the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of equanimity', 'equanimity is', 'is absent', 'absent he', 'he knows', 'knows with', 'with understanding', 'understanding i', 'i have', 'have not', 'not the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of equanimity', 'equanimity and', 'and he', 'he understands', 'understands how', 'how the', 'the arising', 'arising of', 'of the', 'the nonarisen', 'nonarisen enlightenment', 'enlightenment factor', 'factor of', 'of equanimity', 'equanimity comes', 'comes to', 'to be', 'be and', 'and how', 'how the', 'the completion', 'completion by', 'by culture', 'culture of', 'of the', 'the arisen', 'arisen enlightenment', 'enlightenment factor', 'factor of', 'of equanimity', 'equanimity comes', 'comes to', 'to be']"
308,[]
309,"['thus he', 'he lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in mental', 'mental objects', 'objects internally', 'internally and', 'and clings', 'clings to', 'to naught', 'naught in', 'in the', 'the world']"
310,[]
311,"['thus indeed', 'indeed o', 'o bhikkhus', 'bhikkhus a', 'a bhikkhu', 'bhikkhu lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in the', 'the mental', 'mental objects', 'objects of', 'of the', 'the seven', 'seven factors', 'factors of', 'of enlightenment']"
312,"[' the', 'the four', 'four truths']"
313,[]
314,"['and further', 'further o', 'o bhikkhus', 'bhikkhus a', 'a bhikkhu', 'bhikkhu lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in the', 'the mental', 'mental objects', 'objects of', 'of the', 'the four', 'four noble', 'noble truths']"
315,[]
316,"['how o', 'o bhikkhus', 'bhikkhus does', 'does a', 'a bhikkhu', 'bhikkhu live', 'live contemplating', 'contemplating mental', 'mental object', 'object in', 'in the', 'the mental', 'mental objects', 'objects of', 'of the', 'the four', 'four noble', 'noble truths']"
317,[]
318,"['here o', 'o bhikkhus', 'bhikkhus a', 'a bhikkhu', 'bhikkhu understands', 'understands this', 'this is', 'is suffering', 'suffering according', 'according to', 'to reality', 'reality he', 'he understands', 'understands this', 'this is', 'is the', 'the origin', 'origin of', 'of suffering', 'suffering according', 'according to', 'to reality', 'reality he', 'he understands', 'understands this', 'this is', 'is the', 'the cessation', 'cessation of', 'of suffering', 'suffering according', 'according to', 'to reality', 'reality and', 'and he', 'he understands', 'understands this', 'this is', 'is the', 'the road', 'road leading', 'leading to', 'to the', 'the cessation', 'cessation of', 'of suffering', 'suffering according', 'according to', 'to realty']"
319,[]
320,"['thus he', 'he lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in mental', 'mental objects', 'objects internally', 'internally or', 'or he', 'he lives', 'lives contemplating', 'contemplating mental', 'mental objects', 'objects in', 'in mental', 'mental objects', 'objects externally', 'externally or', 'or he', 'he lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in mental', 'mental objects', 'objects internally', 'internally and', 'and externally']"
321,[]
322,"['he lives', 'lives contemplating', 'contemplating origination', 'origination things', 'things in', 'in mental', 'mental objects', 'objects or', 'or he', 'he lives', 'lives contemplating', 'contemplating dissolutionthings', 'dissolutionthings in', 'in mental', 'mental objects', 'objects or', 'or he', 'he lives', 'lives contemplating', 'contemplating originationanddissolutionthings', 'originationanddissolutionthings in', 'in mental', 'mental objects', 'objects or', 'or his', 'his mindfulness', 'mindfulness is', 'is established', 'established with', 'with the', 'the thought', 'thought mental', 'mental objects', 'objects exist', 'exist to', 'to the', 'the extent', 'extent necessary', 'necessary just', 'just for', 'for knowledge', 'knowledge and', 'and remembrance', 'remembrance and', 'and he', 'he lives', 'lives independent', 'independent and', 'and clings', 'clings to', 'to naught', 'naught in', 'in the', 'the world']"
323,[]
324,"['thus indeed', 'indeed o', 'o bhikkhus', 'bhikkhus a', 'a bhikkhu', 'bhikkhu lives', 'lives contemplating', 'contemplating mental', 'mental object', 'object in', 'in the', 'the mental', 'mental objects', 'objects of', 'of the', 'the four', 'four noble', 'noble truths']"
325,"['assurance of', 'of attainment']"
326,[]
327,"['o bhikkhus', 'bhikkhus should', 'should any', 'any person', 'person maintain', 'maintain the', 'the four', 'four arousings', 'arousings of', 'of mindfulness', 'mindfulness in', 'in this', 'this manner', 'manner for', 'for seven', 'seven years', 'years then', 'then by', 'by him', 'him one', 'one of', 'of two', 'two fruitions', 'fruitions is', 'is proper', 'proper to', 'to be', 'be expected', 'expected knowledge', 'knowledge arahantship', 'arahantship here', 'here and', 'and now', 'now or', 'or if', 'if some', 'some form', 'form of', 'of clinging', 'clinging is', 'is yet', 'yet present', 'present the', 'the state', 'state of', 'of nonreturning', 'nonreturning the', 'the third', 'third stage', 'stage of', 'of supramundane', 'supramundane fulfillment']"
328,[]
329,"['o bhikkhus', 'bhikkhus let', 'let alone', 'alone seven', 'seven years', 'years should', 'should a', 'a person', 'person maintain', 'maintain these', 'these four', 'four arousings', 'arousings of', 'of mindfulness', 'mindfulness in', 'in this', 'this manner', 'manner for', 'for six', 'six years', 'years for', 'for five', 'five years', 'years four', 'four years', 'years three', 'three years', 'years two', 'two years', 'years one', 'one year', 'year then', 'then by', 'by him', 'him one', 'one of', 'of two', 'two fruitions', 'fruitions is', 'is proper', 'proper to', 'to be', 'be expected', 'expected knowledge', 'knowledge here', 'here and', 'and now', 'now or', 'or if', 'if some', 'some form', 'form of', 'of clinging', 'clinging is', 'is yet', 'yet present', 'present the', 'the state', 'state of', 'of nonreturning']"
330,[]
331,"['o bhikkhus', 'bhikkhus let', 'let alone', 'alone a', 'a year', 'year should', 'should any', 'any person', 'person maintain', 'maintain these', 'these four', 'four arousings', 'arousings of', 'of mindfulness', 'mindfulness in', 'in the', 'the manner', 'manner for', 'for seven', 'seven months', 'months then', 'then by', 'by him', 'him one', 'one of', 'of two', 'two fruitions', 'fruitions is', 'is proper', 'proper to', 'to be', 'be expected', 'expected knowledge', 'knowledge here', 'here and', 'and now', 'now or', 'or if', 'if some', 'some form', 'form of', 'of clinging', 'clinging is', 'is yet', 'yet present', 'present the', 'the state', 'state of', 'of nonreturning']"
332,[]
333,"['o bhikkhus', 'bhikkhus let', 'let alone', 'alone seven', 'seven months', 'months should', 'should any', 'any person', 'person maintain', 'maintain these', 'these four', 'four arousings', 'arousings of', 'of mindfulness', 'mindfulness in', 'in this', 'this manner', 'manner for', 'for six', 'six months', 'months five', 'five months', 'months four', 'four months', 'months three', 'three months', 'months two', 'two months', 'months one', 'one month', 'month halfamonth', 'halfamonth then', 'then by', 'by him', 'him one', 'one of', 'of two', 'two fruitions', 'fruitions is', 'is proper', 'proper to', 'to be', 'be expected', 'expected knowledge', 'knowledge here', 'here and', 'and now', 'now or', 'or if', 'if some', 'some form', 'form of', 'of clinging', 'clinging is', 'is yet', 'yet present', 'present the', 'the state', 'state of', 'of nonreturning']"
334,[]
335,"['o bhikkhus', 'bhikkhus let', 'let alone', 'alone halfamonth', 'halfamonth should', 'should any', 'any person', 'person maintain', 'maintain these', 'these four', 'four arousings', 'arousings of', 'of mindfulness', 'mindfulness in', 'in this', 'this manner', 'manner for', 'for a', 'a week', 'week then', 'then by', 'by him', 'him one', 'one of', 'of two', 'two fruitions', 'fruitions is', 'is proper', 'proper to', 'to be', 'be expected', 'expected knowledge', 'knowledge here', 'here and', 'and now', 'now or', 'or if', 'if some', 'some form', 'form of', 'of clinging', 'clinging is', 'is yet', 'yet present', 'present the', 'the state', 'state of', 'of nonreturning']"
336,[]
337,"['because of', 'of this', 'this was', 'was it', 'it said', 'said this', 'this is', 'is the', 'the only', 'only way', 'way o', 'o bhikkhus', 'bhikkhus for', 'for the', 'the purification', 'purification of', 'of beings', 'beings for', 'for the', 'the overcoming', 'overcoming of', 'of sorrow', 'sorrow and', 'and lamentation', 'lamentation for', 'for the', 'the destruction', 'destruction of', 'of suffering', 'suffering and', 'and grief', 'grief for', 'for reaching', 'reaching the', 'the right', 'right path', 'path for', 'for the', 'the attainment', 'attainment of', 'of nibbana', 'nibbana namely', 'namely the', 'the four', 'four arousings', 'arousings of', 'of mindfulness']"
338,[]
339,"['thus spoke', 'spoke the', 'the blessed', 'blessed one', 'one satisfied', 'satisfied the', 'the bhikkhus', 'bhikkhus approved', 'approved of', 'of his', 'his words']"
340,"['the commentary', 'commentary to', 'to the', 'the discourse', 'discourse on', 'on the', 'the arousing', 'arousing of', 'of mindfulness']"
341,"['with marginal', 'marginal notes']"
342,"['the section', 'section of', 'of the', 'the synopsis']"
343,[]
344,"['evam me', 'me sutam', 'sutam ', ' thus', 'thus have', 'have i', 'i heard', 'heard the', 'the discourse', 'discourse on', 'on the', 'the arousing', 'arousing of', 'of mindfulness', 'mindfulness satipatthana', 'satipatthana sutta', 'sutta i', 'i refers', 'refers to', 'to the', 'the elder', 'elder ananda', 'ananda cousin', 'cousin of', 'of the', 'the buddha', 'buddha at', 'at the', 'the first', 'first buddhist', 'buddhist council', 'council held', 'held in', 'in the', 'the sattapanna', 'sattapanna cave', 'cave at', 'at rajagaha', 'rajagaha under', 'under the', 'the presidentship', 'presidentship of', 'of the', 'the great', 'great disciple', 'disciple of', 'of the', 'the buddha', 'buddha the', 'the elder', 'elder maha', 'maha kassapa', 'kassapa the', 'the collection', 'collection of', 'of the', 'the discourses', 'discourses sutta', 'sutta pitaka', 'pitaka was', 'was recited', 'recited by', 'by the', 'the elder', 'elder ananda']"
345,[]
346,"['ekam samayam', 'samayam bhagava', 'bhagava kurusu', 'kurusu viharati', 'viharati ', 'at one', 'one time', 'time the', 'the blessed', 'blessed one', 'one was', 'was living', 'living in', 'in the', 'the country', 'country of', 'of the', 'the kurus', 'kurus although', 'although the', 'the territory', 'territory of', 'of the', 'the kuru', 'kuru princes', 'princes their', 'their homeland', 'homeland was', 'was a', 'a single', 'single contiguous', 'contiguous domain', 'domain by', 'by taking', 'taking into', 'into consideration', 'consideration its', 'its many', 'many villages', 'villages and', 'and markettowns', 'markettowns it', 'it was', 'was commonly', 'commonly referred', 'referred to', 'to by', 'by the', 'the use', 'use of', 'of the', 'the plural', 'plural form', 'form kurus']"
347,[]
348,"['in the', 'the time', 'time of', 'of the', 'the legendary', 'legendary king', 'king mandhatu', 'mandhatu say', 'say the', 'the commentators', 'commentators inhabitants', 'inhabitants of', 'of the', 'the three', 'three continents', 'continents pubba', 'pubba videha', 'videha apara', 'apara goyana', 'goyana and', 'and uttara', 'uttara kuru', 'kuru having', 'having heard', 'heard that', 'that jambudipa', 'jambudipa the', 'the birthplace', 'birthplace of', 'of sammasambuddhas', 'sammasambuddhas paccekabuddhas', 'paccekabuddhas the', 'the great', 'great disciples', 'disciples of', 'of the', 'the buddhas', 'buddhas universal', 'universal monarchs', 'monarchs and', 'and other', 'other beings', 'beings of', 'of mighty', 'mighty virtue', 'virtue was', 'was an', 'an exceedingly', 'exceedingly pleasant', 'pleasant excellent', 'excellent continent', 'continent came', 'came to', 'to jambudipa', 'jambudipa with', 'with the', 'the universal', 'universal monarch', 'monarch mandhatu', 'mandhatu who', 'who was', 'was making', 'making a', 'a tour', 'tour of', 'of all', 'all the', 'the continents', 'continents in', 'in due', 'due order', 'order preceded', 'preceded by', 'by his', 'his wheel', 'wheel treasure', 'treasure and', 'and at', 'at last', 'last when', 'when mandhatu', 'mandhatu bodily', 'bodily translated', 'translated himself', 'himself by', 'by means', 'means of', 'of his', 'his psychic', 'psychic virtue', 'virtue to', 'to the', 'the tavatimsa', 'tavatimsa devaloka', 'devaloka the', 'the heaven', 'heaven of', 'of the', 'the thirtythree', 'thirtythree the', 'the people', 'people of', 'of the', 'the three', 'three continents', 'continents who', 'who accompanied', 'accompanied him', 'him to', 'to jambudipa', 'jambudipa begged', 'begged of', 'of his', 'his son', 'son for', 'for territory', 'territory to', 'to live', 'live in', 'in as', 'as they', 'they said', 'said they', 'they had', 'had come', 'come carried', 'carried by', 'by the', 'the great', 'great power', 'power of', 'of mandhatu', 'mandhatu and', 'and were', 'were now', 'now unable', 'unable by', 'by themselves', 'themselves to', 'to return', 'return to', 'to their', 'their own', 'own continents', 'continents their', 'their prayer', 'prayer was', 'was heard', 'heard and', 'and lands', 'lands were', 'were granted', 'granted to', 'to each', 'each of', 'of the', 'the groups', 'groups of', 'of people', 'people of', 'of the', 'the three', 'three continents', 'continents the', 'the places', 'places in', 'in which', 'which these', 'these people', 'people settled', 'settled got', 'got the', 'the names', 'names of', 'of the', 'the original', 'original continents', 'continents from', 'from which', 'which they', 'they had', 'had emigrated', 'emigrated the', 'the settlement', 'settlement of', 'of people', 'people from', 'from pubba', 'pubba videha', 'videha came', 'came to', 'to be', 'be known', 'known as', 'as videha', 'videha of', 'of those', 'those from', 'from apara', 'apara goyana', 'goyana as', 'as aparanta', 'aparanta and', 'and of', 'of those', 'those from', 'from uttara', 'uttara kuru', 'kuru as', 'as kururattha']"
349,[]
350,"['kammasadammam nama', 'nama kurunam', 'kurunam nigamo', 'nigamo ', 'at kammasadamma', 'kammasadamma a', 'a markettown', 'markettown of', 'of the', 'the kuru', 'kuru people', 'people some', 'some explain', 'explain the', 'the word', 'word kammasadamma', 'kammasadamma here', 'here spelling', 'spelling it', 'it with', 'with a', 'a dh', 'dh instead', 'instead of', 'of a', 'd since', 'since kammasa', 'kammasa was', 'was tamed', 'tamed here', 'here it', 'it was', 'was called', 'called kammasadamma', 'kammasadamma the', 'the place', 'place of', 'of the', 'the taming', 'taming of', 'of kammasa', 'kammasa kammasa', 'kammasa refers', 'refers to', 'to the', 'the cannibal', 'cannibal of', 'of kammasapada', 'kammasapada the', 'the one', 'one with', 'with the', 'the speckled', 'speckled black', 'black and', 'and white', 'white or', 'or gray', 'gray colored', 'colored foot', 'foot it', 'it is', 'is said', 'said that', 'that a', 'a wound', 'wound on', 'on his', 'his foot', 'foot caused', 'caused by', 'by a', 'a stake', 'stake healed', 'healed having', 'having become', 'become like', 'like a', 'a piece', 'piece of', 'of wood', 'wood with', 'with lines', 'lines of', 'of fibre', 'fibre of', 'of a', 'a complex', 'complex pattern', 'pattern cittadaru', 'cittadaru sadiso', 'sadiso hutva', 'hutva therefore', 'therefore he', 'he became', 'became wellknown', 'wellknown as', 'as kammasapada', 'kammasapada speckled', 'speckled foot', 'foot by', 'by whom', 'whom was', 'was speckled', 'speckled foot', 'foot tamed', 'tamed by', 'by the', 'the great', 'great being', 'being the', 'the bodhisatta', 'bodhisatta in', 'in which', 'which birthstory', 'birthstory jataka', 'jataka is', 'is it', 'it stated', 'stated certain', 'certain commentators', 'commentators say', 'say in', 'in the', 'the sutasoma', 'sutasoma birthstory', 'birthstory but', 'but the', 'the elders', 'elders of', 'of the', 'the great', 'great minister', 'minister at', 'at anuradhapura', 'anuradhapura the', 'the maha', 'maha vihara', 'vihara say', 'say that', 'that it', 'it is', 'is stated', 'stated in', 'in the', 'the jayaddisa', 'jayaddisa birthstory', 'birthstory kammasapada', 'kammasapada was', 'was tamed', 'tamed weaned', 'weaned of', 'of his', 'his cannibalism', 'cannibalism by', 'by the', 'the great', 'great being', 'being in', 'in the', 'the circumstances', 'circumstances mentioned', 'mentioned in', 'in the', 'the jayaddisa', 'jayaddisa birthstory', 'birthstory the', 'the following', 'following statement', 'statement occurs', 'occurs in', 'in that', 'that story']"
351,[]
352,"['to free', 'free my', 'my sire', 'sire did', 'did i', 'i renounce', 'renounce my', 'my life']"
353,"['when born', 'born as', 'as very', 'very son', 'son of', 'of the', 'the king']"
354,"['jayaddisa pañcalas', 'pañcalas sovran', 'sovran chief']"
355,"['and make', 'make even', 'even speckled', 'speckled foot', 'foot have', 'have faith', 'faith in', 'in me']"
356,[]
357,"['some keci', 'keci however', 'however explain', 'explain spelling', 'spelling the', 'the word', 'word thus', 'thus kammasadhamma', 'kammasadhamma it', 'it is', 'is said', 'said that', 'that the', 'the traditional', 'traditional kuru', 'kuru virtuous', 'virtuous practice', 'practice kuruvattadhamma', 'kuruvattadhamma became', 'became black', 'black or', 'or diversified', 'diversified or', 'or stained', 'stained kammaso', 'kammaso jato', 'jato in', 'in that', 'that place', 'place therefore', 'therefore it', 'it was', 'was called', 'called kammasadhamma', 'kammasadhamma the', 'the markettown', 'markettown established', 'established there', 'there too', 'too got', 'got the', 'the same', 'same name']"
358,[]
359,"['why was', 'was it', 'it not', 'not said', 'said kammasadamme', 'kammasadamme kurunam', 'kurunam nigame', 'nigame using', 'using the', 'the locative', 'locative because', 'because it', 'it is', 'is said', 'said there', 'there was', 'was no', 'no monastery', 'monastery or', 'or dwelling', 'dwelling place', 'place at', 'at which', 'which the', 'the blessed', 'blessed one', 'one could', 'could stay', 'stay in', 'in that', 'that markettown', 'markettown away', 'away from', 'from the', 'the markettown', 'markettown however', 'however there', 'there was', 'was a', 'a huge', 'huge dense', 'dense jungle', 'jungle in', 'in a', 'a delightful', 'delightful region', 'region watered', 'watered well', 'well in', 'in that', 'that jungle', 'jungle the', 'the blessed', 'blessed one', 'one lived', 'lived making', 'making the', 'the markettown', 'markettown his', 'his place', 'place for', 'for gathering', 'gathering alms']"
360,[]
361,"['ekayano ayam', 'ayam bhikkhave', 'bhikkhave maggo', 'maggo ', ' this', 'this is', 'is the', 'the only', 'only way', 'way o', 'o bhikkhus', 'bhikkhus why', 'why did', 'did the', 'the blessed', 'blessed one', 'one teach', 'teach this', 'this discourse', 'discourse because', 'because of', 'of the', 'the ability', 'ability of', 'of the', 'the people', 'people of', 'of the', 'the kurus', 'kurus to', 'to take', 'take in', 'in deep', 'deep doctrine']"
362,[]
363,"['the inhabitants', 'inhabitants of', 'of the', 'the kuru', 'kuru country', 'country ', ' bhikkhus', 'bhikkhus bhikkhunis', 'bhikkhunis upasakas', 'upasakas upasikas', 'upasikas ', 'by reason', 'reason of', 'of their', 'their country', 'country being', 'being blessed', 'blessed with', 'with a', 'a perfect', 'perfect climate', 'climate and', 'and through', 'through their', 'their enjoyment', 'enjoyment of', 'of other', 'other comfortable', 'comfortable conditions', 'conditions were', 'were always', 'always healthy', 'healthy in', 'in body', 'body and', 'and in', 'in mind', 'mind they', 'they happy', 'happy with', 'with healthy', 'healthy minds', 'minds and', 'and bodies', 'bodies and', 'and having', 'having the', 'the power', 'power of', 'of knowledge', 'knowledge were', 'were capable', 'capable of', 'of receiving', 'receiving deep', 'deep teachings', 'teachings therefore', 'therefore the', 'the blessed', 'blessed one', 'one perceiving', 'perceiving their', 'their ability', 'ability to', 'to appreciate', 'appreciate this', 'this profound', 'profound instruction', 'instruction proclaimed', 'proclaimed to', 'to them', 'them this', 'this discourse', 'discourse on', 'on the', 'the arousing', 'arousing of', 'of mindfulness', 'mindfulness which', 'which is', 'is deep', 'deep in', 'in meaning', 'meaning having', 'having set', 'set up', 'up the', 'the subject', 'subject of', 'of meditation', 'meditation in', 'in arahantship', 'arahantship in', 'in twentyone', 'twentyone places', 'places for', 'for even', 'even as', 'as a', 'a man', 'man having', 'having got', 'got a', 'a golden', 'golden basket', 'basket should', 'should fill', 'fill it', 'it with', 'with divers', 'divers flowers', 'flowers or', 'or indeed', 'indeed having', 'having got', 'got a', 'a golden', 'golden casket', 'casket should', 'should fill', 'fill it', 'it with', 'with precious', 'precious jewels', 'jewels of', 'of the', 'the seven', 'seven kinds', 'kinds the', 'the blessed', 'blessed one', 'one having', 'having got', 'got a', 'a following', 'following of', 'of the', 'the kuruland', 'kuruland people', 'people dispensed', 'dispensed it', 'it is', 'is said', 'said deep', 'deep doctrine', 'doctrine likewise', 'likewise on', 'on that', 'that very', 'very account', 'account there', 'there in', 'in the', 'the kurus', 'kurus the', 'the blessed', 'blessed one', 'one taught', 'taught other', 'other deep', 'deep teachings', 'teachings the', 'the mahanidana', 'mahanidana sutta', 'sutta mahasatipatthana', 'mahasatipatthana sutta', 'sutta saropama', 'saropama sutta', 'sutta rukkhupama', 'rukkhupama sutta', 'sutta ratthapala', 'ratthapala sutta', 'sutta magandiya', 'magandiya sutta', 'sutta and', 'and the', 'the aneñjasappaya', 'aneñjasappaya sutta']"
364,[]
